OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0208675009,"ELLERBE CREEK AT WEST MURRAY AVENUE AT DURHAM, NC",Stream,,3020201,5.05,sq mi,,,36.0288111,-78.90226389,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208675010,"ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC",Stream,,3020201,6.01,sq mi,,,36.01938889,-78.8947778,,1,seconds,Interpolated from Digital MAP.,NAD83,289.23,feet,0.39,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086770,"ELLERBE CREEK AT SR1709 NR DURHAM, NC",Stream,,3020201,9.94,sq mi,,,36.02181076,-78.8705629,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208682450,"ELLERBE CR BELOW SECONDARY RD 1669 NR WEAVER, NC",Stream,,3020201,17.3,sq mi,17.3,sq mi,36.0298333,-78.8636944,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086833,"ELLERBE CREEK 0.33 MI BELOW SR1669 NR WEAVER, NC",Stream,,3020201,17.4,sq mi,,,36.03205556,-78.8620556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086835,"ELLERBE CREEK 0.59 MI BELOW SR1669 NR WEAVER, NC",Stream,,3020201,17.4,sq mi,,,36.0357222,-78.8604167,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086837,"ELLERBE CREEK 0.71 MI BELOW SR1669 NR WEAVER, NC",Stream,,3020201,18,sq mi,,,36.03725,-78.85963889,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086839,"ELLERBE CREEK 0.89 MI BELOW SR1669 NR WEAVER, NC",Stream,,3020201,18,sq mi,,,36.0396111,-78.8581667,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086841,"ELLERBE CREEK AT WEAVER, NC",Stream,,3020201,19.5,sq mi,,,36.04319444,-78.8562778,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086843,"ELLERBE CREEK 1.28 MI BELOW SR1669 NR WEAVER, NC",Stream,,3020201,19.5,sq mi,,,36.04469444,-78.8553611,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
