"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC",2011-10-26,"10:35:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.29","Preliminary","Actual"
"USGS-NC",2012-03-30,"12:10:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Height, gage","","0.36","Preliminary","Actual"
"USGS-NC",2012-02-23,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Height, gage","","0.5","Preliminary","Actual"
"USGS-NC",1987-01-08,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Height, gage","","0.93","Historical","Actual"
"USGS-NC",1987-03-25,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","0.99","Historical","Actual"
"USGS-NC",1986-08-20,"13:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Height, gage","","10.75","Historical","Actual"
"USGS-NC",2008-09-06,"12:45:00",NA,"","USGS-02086849","Storm","Falling stage","Height, gage","","11.87","Accepted","Actual"
"USGS-NC",2014-06-03,"9:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.47","Accepted","Actual"
"USGS-NC",2009-05-19,"11:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.57","Accepted","Actual"
"USGS-NC",1992-11-18,"15:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.61","Historical","Actual"
"USGS-NC",2014-05-06,"15:20:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.65","Accepted","Actual"
"USGS-NC",2014-04-29,"12:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.66","Accepted","Actual"
"USGS-NC",2014-04-23,"10:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","1.7","Accepted","Actual"
"USGS-NC",1986-04-21,"10:10:00",NA,"","USGS-02086849","Routine sample","Falling stage","Height, gage","","1.7","Historical","Actual"
"USGS-NC",2018-03-27,"12:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.76","Accepted","Actual"
"USGS-NC",1993-05-20,"10:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Height, gage","","1.81","Historical","Actual"
"USGS-NC",1993-05-26,"12:00:00",NA,"","USGS-02086849","Storm","Rising stage","Height, gage","","1.82","Historical","Actual"
"USGS-NC",2014-04-08,"13:30:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Height, gage","","2.12","Accepted","Actual"
"USGS-NC",2014-05-20,"14:00:00",NA,"","USGS-02086849","Routine sample","Not determined","Height, gage","","2.88","Accepted","Actual"
"USGS-NC",2011-07-08,"16:15:00",2011-07-08,"21:45:59","USGS-02086849","Storm","Rising stage","Height, gage","","4.72","Accepted","Actual"
"USGS-NC",2007-03-02,"8:45:00",NA,"","USGS-02086849","Storm","Falling stage","Height, gage","","6.17","Accepted","Actual"
"USGS-NC",2006-06-14,"14:30:00",NA,"","USGS-02086849","Storm","Peak stage","Height, gage","","7.04","Accepted","Actual"
"USGS-NC",2011-10-26,"10:35:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","","Preliminary","Actual"
"USGS-NC",2012-03-30,"12:10:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.6","Preliminary","Actual"
"USGS-NC",2016-12-06,"14:30:00",NA,"","USGS-0208675009","Storm","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.64","Accepted","Actual"
"USGS-NC",2017-06-26,"14:45:00",NA,"","USGS-0208675009","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.76","Accepted","Actual"
"USGS-NC",2012-04-25,"12:30:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.76","Preliminary","Actual"
"USGS-NC",2012-02-23,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.77","Preliminary","Actual"
"USGS-NC",2017-02-09,"5:30:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.95","Accepted","Actual"
"USGS-NC",2017-03-14,"2:36:00",NA,"","USGS-0208675009","Storm","Peak stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1","Accepted","Actual"
"USGS-NC",1986-02-19,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","11","Historical","Actual"
"USGS-NC",1985-07-22,"14:15:00",NA,"","USGS-02086849","Routine sample","Rising stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","11","Historical","Actual"
