"MonitoringLocationIdentifier","ActivityStartDate","ActivityEndDate","HydrologicEvent","CharacteristicName","meanresult"
"21NC01WQ-J1269000",1983-11-20,NA,"","Flow",NA
"21NC01WQ-J1269000",1983-11-21,NA,"","Flow",NA
"21NC01WQ-J1269000",1983-11-24,NA,"","Flow",NA
"21NC01WQ-J1269000",1983-11-25,NA,"","Flow",NA
"21NC01WQ-J1269000",1983-11-28,NA,"","Flow",NA
"21NC01WQ-J1270000",1977-03-07,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-02-05,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-03-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-03-25,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-04-07,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-05-12,NA,"","Flow",NA
"21NC01WQ-J1330000",1975-11-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1976-01-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1976-03-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1978-08-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1978-10-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1978-11-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1978-12-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-02-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-03-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-04-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-05-05,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-05-08,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-07-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-08-07,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-09-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-10-10,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-11-27,NA,"","Flow",NA
"21NC01WQ-J1330000",1979-12-03,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-01-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-03-28,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-04-08,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-05-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-06-17,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-08-26,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-09-22,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-10-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-11-19,NA,"","Flow",NA
"21NC01WQ-J1330000",1980-12-11,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-01-20,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-03-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-04-13,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-05-27,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-06-22,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-07-15,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-08-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-09-14,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-10-22,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-11-16,NA,"","Flow",NA
"21NC01WQ-J1330000",1981-12-08,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-01-28,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-02-18,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-03-04,NA,"","Flow",NA
"21NC01WQ-J1330000",1982-04-22,NA,"","Flow",NA
