"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","5/6/14","15:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","RBP Stream width","","38","Accepted","Actual"
"USGS-NC","5/12/14","16:40:00","","","USGS-02086849","Routine sample","Stable, low stage","RBP Stream width","","40","Accepted","Actual"
"USGS-NC","4/29/14","12:00:00","","","USGS-02086849","Routine sample","Not determined","RBP Stream width","","50","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","","","USGS-02086849","Routine sample","Not determined","RBP Stream width","","50","Accepted","Actual"
"USGS-NC","6/3/14","9:00:00","","","USGS-02086849","Routine sample","Not determined","RBP Stream width","","50","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","RBP Stream width","","50","Accepted","Actual"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","RBP Stream width","","75","Accepted","Actual"
"USGS-NC","9/6/08","12:45:00","","","USGS-02086849","Storm","Falling stage","RBP Stream width","","78","Accepted","Actual"
"USGS-NC","12/6/16","14:30:00","","","USGS-0208675009","Storm","Rising stage","Temperature, water","","10.4","Accepted","Actual"
"USGS-NC","3/27/18","12:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","10.4","Accepted","Actual"
"USGS-NC","3/18/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","10.5","Historical","Actual"
"USGS-NC","2/23/12","11:45:00","","","USGS-0208675010","Routine sample","Falling stage","Temperature, water","","10.8","Preliminary","Actual"
"USGS-NC","3/25/86","9:45:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","12","Historical","Actual"
"USGS-NC","11/18/92","15:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","12","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","12","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","","","USGS-02086849","Routine sample","Rising stage","Temperature, water","","12","Historical","Actual"
"USGS-NC","3/18/83","17:25:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","13","Historical","Actual"
"USGS-NC","4/9/84","10:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","13","Historical","Actual"
"USGS-NC","4/6/89","12:40:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","13.3","Historical","Actual"
"USGS-NC","3/2/07","8:45:00","","","USGS-02086849","Storm","Falling stage","Temperature, water","","13.3","Accepted","Actual"
"USGS-NC","3/29/94","9:45:00","","","USGS-0208682450","Storm","Falling stage","Temperature, water","","13.5","Historical","Actual"
"USGS-NC","10/26/11","10:35:00","","","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water","","14.2","Preliminary","Actual"
"USGS-NC","4/8/14","13:30:00","","","USGS-02086849","Routine sample","Stable, high stage","Temperature, water","","14.2","Accepted","Actual"
"USGS-NC","4/25/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, water","","14.3","Preliminary","Actual"
"USGS-NC","4/22/91","14:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","14.5","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","14.5","Historical","Actual"
"USGS-NC","4/20/90","10:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","15","Historical","Actual"
"USGS-NC","4/28/93","16:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","16","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","16.3","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","16.6","Accepted","Actual"
"USGS-NC","9/26/83","8:30:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","17","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","17.1","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","17.5","Historical","Actual"
"USGS-NC","4/21/86","10:10:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","17.5","Historical","Actual"
"USGS-NC","3/30/12","12:10:00","","","USGS-0208675010","Routine sample","Stable, low stage","Temperature, water","","17.7","Preliminary","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","19","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","19.6","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","19.7","Accepted","Actual"
"USGS-NC","10/8/16","16:45:00","","","USGS-0208675009","Storm","Peak stage","Temperature, water","","20","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","","","USGS-02086849","Storm","Peak stage","Temperature, water","","20.7","Accepted","Actual"
"USGS-NC","4/21/92","15:30:00","","","USGS-02086849","Storm","Peak stage","Temperature, water","","21","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","","","USGS-02086849","Storm","Rising stage","Temperature, water","","21","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","21","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","21.3","Accepted","Actual"
"USGS-NC","6/5/84","10:30:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","21.5","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","","","USGS-02086849","Routine sample","Rising stage","Temperature, water","","22","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","22.5","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","","","USGS-02086849","Storm","Falling stage","Temperature, water","","22.6","Accepted","Actual"
"USGS-NC","8/23/84","10:45:00","","","USGS-02086849","Routine sample","Rising stage","Temperature, water","","23","Historical","Actual"
"USGS-NC","8/11/92","15:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","23","Historical","Actual"
"USGS-NC","8/23/94","14:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","24","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","","","USGS-0208682450","Routine sample","Stable, normal stage","Temperature, water","","24.4","Accepted","Actual"
"USGS-NC","6/18/85","9:40:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","24.5","Historical","Actual"
"USGS-NC","7/12/16","11:00:00","","","USGS-02086835","Routine sample","Stable, normal stage","Temperature, water","","25.3","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","","","USGS-02086837","Routine sample","Stable, normal stage","Temperature, water","","25.7","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","","","USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, water","","25.7","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","","","USGS-02086849","Routine sample","Rising stage","Temperature, water","","26","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","27","Historical","Actual"
"USGS-NC","7/12/16","15:20:00","","","USGS-02086841","Routine sample","Stable, normal stage","Temperature, water","","27.2","Accepted","Actual"
"USGS-NC","1/24/84","9:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","6.5","Historical","Actual"
"USGS-NC","3/27/18","11:00:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, water","","7","Accepted","Actual"
"USGS-NC","1/22/86","9:35:00","","","USGS-02086849","Routine sample","Stable, low stage","Temperature, water","","8","Historical","Actual"
"USGS-NC","1/8/87","8:55:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","8","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","8","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Temperature, water","","8.5","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, water","","9","Historical","Actual"
"USGS-NC","12/21/88","10:00:00","","","USGS-02086849","Routine sample","Falling stage","Temperature, water","","9","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","","","USGS-02086849","Flood","Rising stage","Temperature, water","","9.5","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C","","19","Historical","Actual"
"USGS-NC","4/25/12","12:30:00","","","USGS-0208675010","Routine sample","Stable, normal stage","Temperature, air, deg C","","19.5","Preliminary","Actual"
"USGS-NC","5/26/93","12:00:00","","","USGS-02086849","Storm","Rising stage","Temperature, air, deg C","","22.5","Historical","Actual"
"USGS-NC","4/28/93","16:00:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C","","24","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","","","USGS-0208682450","Routine sample","Stable, normal stage","Temperature, air, deg C","","26.2","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","","","USGS-02086835","Routine sample","Stable, normal stage","Temperature, air, deg C","","29.9","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","","","USGS-02086841","Routine sample","Stable, normal stage","Temperature, air, deg C","","31.3","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","","","USGS-02086837","Routine sample","Stable, normal stage","Temperature, air, deg C","","31.5","Accepted","Actual"
"USGS-NC","7/12/16","13:10:00","","","USGS-360226078512801","Routine sample","Stable, normal stage","Temperature, air, deg C","","31.8","Accepted","Actual"
"USGS-NC","3/27/18","12:15:00","","","USGS-02086849","Routine sample","Stable, normal stage","Temperature, air, deg C","","8","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","","","USGS-360211078513701","Routine sample","Stable, normal stage","Temperature, air, deg C","","8","Accepted","Actual"
"USGS-NC","3/18/83","17:25:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","733","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","","","USGS-02086849","Flood","Rising stage","Barometric pressure","","735","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","","","USGS-02086849","Routine sample","Not determined","Barometric pressure","","736","Historical","Actual"
